Type,Title,Year,Score,Budget,Cast_Likes,Gross,movie_likes
Color,Zoom ,2006,4.2,35000000,5022,11631245,494
Color,Zoolander 2 ,2016,4.8,50000000,24107,28837115,28000
Color,Zoolander ,2001,6.6,28000000,34565,45162741,0
Color,Zookeeper ,2011,5.2,80000000,5392,80360866,0
Color,Zombieland ,2009,7.7,23600000,28011,75590286,26000
Color,Zodiac ,2007,7.7,65000000,36928,33048353,12000
Color,Zero Effect ,1998,7,5000000,1209,1980338,507
Color,Zero Dark Thirty ,2012,7.4,40000000,2759,95720716,39000
Color,Zathura: A Space Adventure ,2005,6.1,65000000,32232,28045540,0
Color,Zack and Miri Make a Porno ,2008,6.6,24000000,638,31452765,0
Color,Youth in Revolt ,2009,6.5,18000000,16004,15281286,0
Color,Your Sister's Sister ,2011,6.7,125000,973,1573712,3000
Color,Your Highness ,2011,5.6,49900000,45202,21557240,18000
Color,Young Sherlock Holmes ,1985,6.8,18000000,605,4250320,0
Color,Young Guns ,1988,6.8,13000000,1747,44726644,0
Black and White,Young Frankenstein ,1974,8,2800000,2703,86300000,14000
Color,Young Adult ,2011,6.3,12000000,10575,16300302,0
Color,You've Got Mail ,1998,6.5,65000000,17768,115731542,0
Color,"You, Me and Dupree ",2006,5.6,54000000,847,75604320,0
Color,You Will Meet a Tall Dark Stranger ,2010,6.3,22000000,19310,3247816,0
Color,You Only Live Twice ,1967,6.9,9500000,2127,43100000,0
Color,You Kill Me ,2007,6.5,4000000,776,2426851,830
Color,You Got Served ,2004,3.5,8000000,1792,40066497,0
Color,You Don't Mess with the Zohan ,2008,5.5,90000000,13446,100018837,0
Color,You Can Count on Me ,2000,7.7,1200000,4288,9180275,756
Color,You Again ,2010,5.8,20000000,4813,25677801,0
Color,Yogi Bear ,2010,4.6,80000000,4394,100169068,0
Color,Yes Man ,2008,6.8,70000000,29505,97680195,0
Color,Yes ,2004,6.9,1000000,2721,396035,305
Color,Yentl ,1983,6.6,12000000,914,30400000,0
Color,Year One ,2009,4.9,60000000,12258,43337279,0
Color,Y Tu Mamá También ,2001,7.7,2000000,361,13622333,0
Color,xXx: State of the Union ,2005,4.3,87000000,993,26082914,0
Color,xXx ,2002,5.8,70000000,14790,141204016,10000
Color,X-Men: The Last Stand ,2006,6.8,210000000,21714,234360014,0
Color,X-Men: First Class ,2011,7.8,160000000,50983,146405371,54000
Color,X-Men: Days of Future Past ,2014,8,200000000,91434,233914986,82000
Color,X-Men: Apocalypse ,2016,7.3,178000000,49684,154985087,54000
Color,X-Men Origins: Wolverine ,2009,6.7,150000000,40054,179883016,0
Color,X-Men 2 ,2003,7.5,110000000,20952,214948780,0
Color,X-Men ,2000,7.4,75000000,21397,157299717,0
Color,Wyatt Earp ,1994,6.6,63000000,5708,25052000,0
Color,Wrong Turn ,2003,6.1,12600000,3416,15417771,0
Color,Wristcutters: A Love Story ,2006,7.4,1000000,4720,104077,11000
