Type,Title,Year,Score,Gross
Color,#Horror ,2015,3.3,
Color,[Rec] 2 ,2009,6.6,27024
Color,[Rec] ,2007,7.5,
Color,10 Cloverfield Lane ,2016,7.3,71897215
Color,10 Days in a Madhouse ,2015,7.5,14616
Color,10 Things I Hate About You ,1999,7.2,38176108
Color,102 Dalmatians ,2000,4.8,66941559
Color,10th & Wolf ,2006,6.4,53481
Color,11:14 ,2003,7.2,
Black and White,12 Angry Men ,1957,8.9,
Color,12 Rounds ,2009,5.6,12232937
Color,12 Years a Slave ,2013,8.1,56667870
Color,127 Hours ,2010,7.6,18329466
Color,13 Going on 30 ,2004,6.1,56044241
Color,13 Hours ,2016,7.4,52822418
Color,1408 ,2007,6.8,71975611
Color,15 Minutes ,2001,6.1,24375436
Color,16 Blocks ,2006,6.6,36883539
Color,16 to Life ,2009,6.3,
Color,17 Again ,2009,6.4,64149837
Color,1776 ,1972,7.6,
Color,1911 ,2011,6,127437
Color,1941 ,1979,5.9,
Color,1982 ,2013,7.1,
Color,2 Fast 2 Furious ,2003,5.9,127083765
Color,2 Guns ,2013,6.7,75573300
Color,2:13 ,2009,4.8,
Color,20 Dates ,1998,5.3,536767
Color,20 Feet from Stardom ,2013,7.4,4946250
Color,"20,000 Leagues Under the Sea ",1954,7.2,
Color,200 Cigarettes ,1999,5.9,6851636
Color,2001: A Space Odyssey ,1968,8.3,56715371
Color,2012 ,2009,5.8,166112167
Color,2016: Obama's America ,2012,5.1,33349949
Black and White,2046 ,2004,7.5,261481
Color,21 & Over ,2013,5.9,25675765
Color,21 Grams ,2003,7.7,16248701
Color,21 Jump Street ,2012,7.2,138447667
Color,21 ,2008,6.8,81159365
Color,22 Jump Street ,2014,7.1,191616238
Black and White,24 7: Twenty Four Seven ,1997,7.1,
Color,25th Hour ,2002,7.7,13060843
Color,27 Dresses ,2008,6.1,76806312
Color,28 Days Later... ,2002,7.6,45063889
Color,28 Days ,2000,6,37035515
Color,28 Weeks Later ,2007,7,28637507
Color,3 Backyards ,2010,5.2,
Color,3 Days to Kill ,2014,6.2,30688364
Color,3 Men and a Baby ,1987,5.9,167780960
Color,3 Ninjas Kick Back ,1994,4.3,11784000
Color,3 Strikes ,2000,4,9821335
Color,3 ,2010,6.8,59774
Color,3:10 to Yuma ,2007,7.8,53574088
Color,30 Days of Night ,2007,6.6,39568996
Color,30 Minutes or Less ,2011,6.1,37053924
Color,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,2013,2.6,
Color,300 ,2006,7.7,210592590
Color,300: Rise of an Empire ,2014,6.2,106369117
Color,3000 Miles to Graceland ,2001,5.9,15738632
Color,"4 Months, 3 Weeks and 2 Days ",2007,7.9,1185783
Color,40 Days and 40 Nights ,2002,5.6,37939782
Color,42 ,2013,7.5,95001343
Black and White,42nd Street ,1933,7.7,2300000
Color,47 Ronin ,2013,6.3,38297305
Color,5 Days of War ,2011,5.6,17149
Color,50 First Dates ,2004,6.8,120776832
Color,50/50 ,2011,7.7,34963967
Color,500 Days of Summer ,2009,7.7,32391374
Color,51 Birch Street ,2005,7.5,84689
Color,54 ,1998,5.8,16574731
Color,55 Days at Peking ,1963,6.8,
Color,8 Days ,2014,6.9,
Color,8 Heads in a Duffel Bag ,1997,5.3,3559990
Color,8 Mile ,2002,7,116724075
Color,8 Women ,2002,7.1,3076425
Color,8: The Mormon Proposition ,2010,7.1,99851
Color,88 Minutes ,2007,5.9,16930884
Color,8MM ,1999,6.5,36283504
Color,9 ,2009,7.1,31743332
Color,90 Minutes in Heaven ,2015,4.6,4700361
Color,9½ Weeks ,1986,5.9,6734844
Color,A Beautiful Mind ,2001,8.2,170708996
Color,A Beginner's Guide to Snuff ,2016,8.7,
Color,A Better Life ,2011,7.2,1754319
Black and White,A Bridge Too Far ,1977,7.4,50800000
Color,A Bug's Life ,1998,7.2,162792677
Color,A Charlie Brown Christmas ,1965,8.4,
