Actor,Title,Gross,id
Employee#9,Shop - Misc,0.1,root Employee#9 Shop-Misc
Employee#9,Cleanup,0.32,root Employee#9 Cleanup
Employee#9,Errands,1.17,root Employee#9 Errands
Employee#9,Wood Parts (Seam Strips),1.88,root Employee#9 WoodParts(SeamStrips)
Employee#9,Sanding,2.88,root Employee#9 Sanding
Employee#9,Shop - Tnutting,4.6,root Employee#9 Shop-Tnutting
Employee#9,CNC Operations,7.52,root Employee#9 CNCOperations
Employee#9,Shop - Steel,8.54,root Employee#9 Shop-Steel
Employee#9,Wood QC,8.99,root Employee#9 WoodQC
Employee#9,Finishing,10.45,root Employee#9 Finishing
Employee#9,Shipping/Receiving,17.81,root Employee#9 Shipping/Receiving
Employee#9,Misc,21.21,root Employee#9 Misc
Employee#9,Shop - Panels Post Pro,27.39,root Employee#9 Shop-PanelsPostPro
Employee#9,Job not listed,29,root Employee#9 Jobnotlisted
Employee#9,Turnbuckles,33.77,root Employee#9 Turnbuckles
Employee#9,Tnut,38.05,root Employee#9 Tnut
Employee#9,Panel,51.74,root Employee#9 Panel
Employee#9,Main Steel,73.54,root Employee#9 MainSteel
Employee#9,Employee#9,Employee#9,root Employee#9
Employee#8,Job not listed,8,root Employee#8 Jobnotlisted
Employee#8,Employee#8,Employee#8,root Employee#8
Employee#7,Panel,4.13,root Employee#7 Panel
Employee#7,Shipping/Receiving,4.18,root Employee#7 Shipping/Receiving
Employee#7,Shop - Misc,5.2,root Employee#7 Shop-Misc
Employee#7,Shop - Panels Post Pro,13.99,root Employee#7 Shop-PanelsPostPro
Employee#7,Wood QC,20.37,root Employee#7 WoodQC
Employee#7,Misc,31.52,root Employee#7 Misc
Employee#7,Shop - Hardwood,45.53,root Employee#7 Shop-Hardwood
Employee#7,Job not listed,56.12,root Employee#7 Jobnotlisted
Employee#7,Coatings,129.65,root Employee#7 Coatings
Employee#7,Employee#7,Employee#7,root Employee#7
Employee#5,Shipping/Receiving,4.5,root Employee#5 Shipping/Receiving
Employee#5,Shop - Shipping/Receiving,4.58,root Employee#5 Shop-Shipping/Receiving
Employee#5,Shop - Steel,14.71,root Employee#5 Shop-Steel
Employee#5,Misc,29.87,root Employee#5 Misc
Employee#5,Shop - Misc,41.16,root Employee#5 Shop-Misc
Employee#5,Job not listed,48.03,root Employee#5 Jobnotlisted
Employee#5,Main Steel,189.9,root Employee#5 MainSteel
Employee#5,Employee#5,Employee#5,root Employee#5
Employee#4,Job not listed,8,root Employee#4 Jobnotlisted
Employee#4,Employee#4,Employee#4,root Employee#4
Employee#35,Misc,1.85,root Employee#35 Misc
Employee#35,Panel,37.55,root Employee#35 Panel
Employee#35,Employee#35,Employee#35,root Employee#35
Employee#34,Misc,4.02,root Employee#34 Misc
Employee#34,Main Steel,99.33,root Employee#34 MainSteel
Employee#34,Employee#34,Employee#34,root Employee#34
Employee#33,Panel,7.95,root Employee#33 Panel
Employee#33,Wood Parts (Seam Strips),8.42,root Employee#33 WoodParts(SeamStrips)
Employee#33,Coatings,23.25,root Employee#33 Coatings
Employee#33,Misc,41.53,root Employee#33 Misc
Employee#33,Employee#33,Employee#33,root Employee#33
Employee#32,Panel,5.12,root Employee#32 Panel
Employee#32,Shop - Panels Post Pro,8.06,root Employee#32 Shop-PanelsPostPro
Employee#32,Coatings,17.27,root Employee#32 Coatings
Employee#32,Job not listed,18,root Employee#32 Jobnotlisted
Employee#32,Shop - Misc,19,root Employee#32 Shop-Misc
Employee#32,Misc,64.65,root Employee#32 Misc
Employee#32,Employee#32,Employee#32,root Employee#32
Employee#31,Main Steel,1.45,root Employee#31 MainSteel
Employee#31,Turnbuckles,48.17,root Employee#31 Turnbuckles
Employee#31,Panel,112.71,root Employee#31 Panel
Employee#31,Employee#31,Employee#31,root Employee#31
Employee#30,Cleanup,0.08,root Employee#30 Cleanup
Employee#30,Shipping/Receiving,1.9,root Employee#30 Shipping/Receiving
Employee#30,Shop - Panels Post Pro,4,root Employee#30 Shop-PanelsPostPro
Employee#30,Misc,9.96,root Employee#30 Misc
Employee#30,Job not listed,10,root Employee#30 Jobnotlisted
Employee#30,Handrail,15.05,root Employee#30 Handrail
Employee#30,Shop - Misc,26.15,root Employee#30 Shop-Misc
Employee#30,Turnbuckles,68.62,root Employee#30 Turnbuckles
Employee#30,Panel,101.98,root Employee#30 Panel
Employee#30,Employee#30,Employee#30,root Employee#30
Employee#3,QA,18.15,root Employee#3 QA
Employee#3,Sanding,20.68,root Employee#3 Sanding
Employee#3,Pouring,261.64,root Employee#3 Pouring
Employee#3,Employee#3,Employee#3,root Employee#3
Employee#29,Molding,88.9,root Employee#29 Molding
Employee#29,Employee#29,Employee#29,root Employee#29
Employee#28,Wood QC,3.98,root Employee#28 WoodQC
Employee#28,Shop - Panels Post Pro,4,root Employee#28 Shop-PanelsPostPro
Employee#28,Shop - Misc,4.02,root Employee#28 Shop-Misc
Employee#28,Job not listed,5.05,root Employee#28 Jobnotlisted
Employee#28,Turnbuckles,9,root Employee#28 Turnbuckles
Employee#28,Panel,12.85,root Employee#28 Panel
Employee#28,Coatings,21.78,root Employee#28 Coatings
Employee#28,Misc,22.33,root Employee#28 Misc
Employee#28,Wood Parts (Seam Strips),31.98,root Employee#28 WoodParts(SeamStrips)
Employee#28,Shop - Steel,99.22,root Employee#28 Shop-Steel
Employee#28,Employee#28,Employee#28,root Employee#28
Employee#27,Job not listed,5.22,root Employee#27 Jobnotlisted
Employee#27,Shop - Panels Post Pro,9.02,root Employee#27 Shop-PanelsPostPro
Employee#27,Wood QC,12.43,root Employee#27 WoodQC
Employee#27,Cleanup,12.66,root Employee#27 Cleanup
