Actor,Title,Score,Actor_Likes,Gross,Movie_Likes,idOld,id
Zooey Deschanel,Winter Passing ,6.4,11000,101228,414,ZooeyDeschanel WinterPassing ,root ZooeyDeschanel WinterPassing 
Zooey Deschanel,The New Guy ,5.9,11000,28972187,1000,ZooeyDeschanel TheNewGuy ,root ZooeyDeschanel TheNewGuy 
Zooey Deschanel,The Hitchhiker's Guide to the Galaxy ,6.8,11000,51019112,10000,ZooeyDeschanel TheHitchhiker'sGuidetotheGalaxy ,root ZooeyDeschanel TheHitchhiker'sGuidetotheGalaxy 
Zooey Deschanel,The Happening ,5,11000,64505912,6000,ZooeyDeschanel TheHappening ,root ZooeyDeschanel TheHappening 
Zooey Deschanel,Our Idiot Brother ,6.4,11000,24809547,11000,ZooeyDeschanel OurIdiotBrother ,root ZooeyDeschanel OurIdiotBrother 
Zooey Deschanel,Mumford ,6.9,11000,4554569,209,ZooeyDeschanel Mumford ,root ZooeyDeschanel Mumford 
Zooey Deschanel,Eulogy ,6.7,11000,70527,376,ZooeyDeschanel Eulogy ,root ZooeyDeschanel Eulogy 
Zooey Deschanel,Big Trouble ,6.5,11000,7262288,892,ZooeyDeschanel BigTrouble ,root ZooeyDeschanel BigTrouble 
Zooey Deschanel,All the Real Girls ,6.9,11000,548712,571,ZooeyDeschanel AlltheRealGirls ,root ZooeyDeschanel AlltheRealGirls 
Zoe Lister-Jones,Breaking Upwards ,6.2,331,76382,324,ZoeLister-Jones BreakingUpwards ,root ZoeLister-Jones BreakingUpwards 
Zoë Kravitz,No Reservations ,6.3,943,43097652,0,ZoëKravitz NoReservations ,root ZoëKravitz NoReservations 
Zoë Kravitz,It's Kind of a Funny Story ,7.2,943,6350058,20000,ZoëKravitz It'sKindofaFunnyStory ,root ZoëKravitz It'sKindofaFunnyStory 
Zoe Kazan,The Exploding Girl ,6.3,962,24705,377,ZoeKazan TheExplodingGirl ,root ZoeKazan TheExplodingGirl 
Zoe Kazan,Me and Orson Welles ,6.8,962,1186957,0,ZoeKazan MeandOrsonWelles ,root ZoeKazan MeandOrsonWelles 
Zak Penn,Incident at Loch Ness ,6.6,87,36830,400,ZakPenn IncidentatLochNess ,root ZakPenn IncidentatLochNess 
Zack Ward,Transformers ,7.1,662,318759914,8000,ZackWard Transformers ,root ZackWard Transformers 
Zack Ward,Trade ,7.5,662,214202,0,ZackWard Trade ,root ZackWard Trade 
Zachary Gordon,The Brothers Bloom ,6.9,975,3519627,0,ZacharyGordon TheBrothersBloom ,root ZacharyGordon TheBrothersBloom 
Zachary Gordon,Diary of a Wimpy Kid: Rodrick Rules ,6.6,975,52691009,0,ZacharyGordon DiaryofaWimpyKid:RodrickRules ,root ZacharyGordon DiaryofaWimpyKid:RodrickRules 
Zachary Gordon,Diary of a Wimpy Kid: Dog Days ,6.4,975,49002815,0,ZacharyGordon DiaryofaWimpyKid:DogDays ,root ZacharyGordon DiaryofaWimpyKid:DogDays 
Zach Gilford,The Last Stand ,6.4,971,12026670,24000,ZachGilford TheLastStand ,root ZachGilford TheLastStand 
Zach Gilford,Devil's Due ,4,971,15818967,0,ZachGilford Devil'sDue ,root ZachGilford Devil'sDue 
Yuri Lowenthal,The Pirates Who Don't Do Anything: A VeggieTales Movie ,5.7,354,12701880,175,YuriLowenthal ThePiratesWhoDon'tDoAnything:AVeggieTalesMovie ,root YuriLowenthal ThePiratesWhoDon'tDoAnything:AVeggieTalesMovie 
Yul Vazquez,The Last Big Thing ,6.9,96,22434,43,YulVazquez TheLastBigThing ,root YulVazquez TheLastBigThing 
Yuki Matsuzaki,Letters from Iwo Jima ,7.9,378,13753931,5000,YukiMatsuzaki LettersfromIwoJima ,root YukiMatsuzaki LettersfromIwoJima 
Yorick van Wageningen,Winter in Wartime ,7.1,163,542860,0,YorickvanWageningen WinterinWartime ,root YorickvanWageningen WinterinWartime 
Ye Liu,City of Life and Death ,7.7,52,119922,0,YeLiu CityofLifeandDeath ,root YeLiu CityofLifeandDeath 
Yaya DaCosta,And So It Goes ,5.7,712,15155772,3000,YayaDaCosta AndSoItGoes ,root YayaDaCosta AndSoItGoes 
Yasmine Al Massri,Caramel ,7.2,227,1060591,0,YasmineAlMassri Caramel ,root YasmineAlMassri Caramel 
Yaphet Kotto,The Running Man ,6.6,581,38122105,0,YaphetKotto TheRunningMan ,root YaphetKotto TheRunningMan 
Yaphet Kotto,Nothing But a Man ,8.1,581,12438,363,YaphetKotto NothingButaMan ,root YaphetKotto NothingButaMan 
Yaphet Kotto,Live and Let Die ,6.8,581,35400000,0,YaphetKotto LiveandLetDie ,root YaphetKotto LiveandLetDie 
Ximena Ayala,The Amazing Catfish ,7,31,11278,407,XimenaAyala TheAmazingCatfish ,root XimenaAyala TheAmazingCatfish 
Xander Berkeley,Shanghai Noon ,6.6,485,56932305,0,XanderBerkeley ShanghaiNoon ,root XanderBerkeley ShanghaiNoon 
Woody Strode,Kingdom of the Spiders ,5.9,423,17000000,0,WoodyStrode KingdomoftheSpiders ,root WoodyStrode KingdomoftheSpiders 
Woody Allen,The Curse of the Jade Scorpion ,6.8,11000,7496522,826,WoodyAllen TheCurseoftheJadeScorpion ,root WoodyAllen TheCurseoftheJadeScorpion 
Woody Allen,Small Time Crooks ,6.7,11000,17071230,812,WoodyAllen SmallTimeCrooks ,root WoodyAllen SmallTimeCrooks 
Woody Allen,New York Stories ,6.4,11000,10763469,877,WoodyAllen NewYorkStories ,root WoodyAllen NewYorkStories 
Woody Allen,Hollywood Ending ,6.6,11000,4839383,762,WoodyAllen HollywoodEnding ,root WoodyAllen HollywoodEnding 
Woody Allen,Deconstructing Harry ,7.4,11000,10569071,0,WoodyAllen DeconstructingHarry ,root WoodyAllen DeconstructingHarry 
Woody Allen,Anything Else ,6.4,11000,3203044,827,WoodyAllen AnythingElse ,root WoodyAllen AnythingElse 
Woody Allen,Annie Hall ,8.1,11000,39200000,0,WoodyAllen AnnieHall ,root WoodyAllen AnnieHall 
Wood Harris,Dredd ,7.1,818,26803366,92000,WoodHarris Dredd ,root WoodHarris Dredd 
Willie Garson,Play It to the Bone ,5.4,512,8427204,153,WillieGarson PlayIttotheBone ,root WillieGarson PlayIttotheBone 
Willie Garson,Being John Malkovich ,7.8,512,22858926,0,WillieGarson BeingJohnMalkovich ,root WillieGarson BeingJohnMalkovich 
William Smith,Conan the Barbarian ,6.9,1838,75134880,0,WilliamSmith ConantheBarbarian ,root WilliamSmith ConantheBarbarian 
William Smith,Broken Vessels ,6.6,919,13493,51,WilliamSmith BrokenVessels ,root WilliamSmith BrokenVessels 
William Schallert,House Party 2 ,5.1,901,19281235,232,WilliamSchallert HouseParty2 ,root WilliamSchallert HouseParty2 
William Morgan Sheppard,Love's Abiding Joy ,7.2,702,252726,76,WilliamMorganSheppard Love'sAbidingJoy ,root WilliamMorganSheppard Love'sAbidingJoy 
William McNamara,Copycat ,6.6,10000,32051917,0,WilliamMcNamara Copycat ,root WilliamMcNamara Copycat 
William Kircher,Out of the Blue ,7.3,109,728,285,WilliamKircher OutoftheBlue ,root WilliamKircher OutoftheBlue 
William Joseph Elk III,The Business of Fancydancing ,6.9,96,174682,96,WilliamJosephElkIII TheBusinessofFancydancing ,root WilliamJosephElkIII TheBusinessofFancydancing 
William Hurt,Tuck Everlasting ,6.7,882,19158074,0,WilliamHurt TuckEverlasting ,root WilliamHurt TuckEverlasting 
William Hurt,Race ,7.1,882,19097994,0,WilliamHurt Race ,root WilliamHurt Race 
William Hurt,Marilyn Hotchkiss' Ballroom Dancing and Charm School ,7.1,882,333658,16,WilliamHurt MarilynHotchkiss'BallroomDancingandCharmSchool ,root WilliamHurt MarilynHotchkiss'BallroomDancingandCharmSchool 
William Hootkins,Steamboy ,6.9,488,410388,973,WilliamHootkins Steamboy ,root WilliamHootkins Steamboy 
William Holden,The Bridge on the River Kwai ,8.2,682,27200000,0,WilliamHolden TheBridgeontheRiverKwai ,root WilliamHolden TheBridgeontheRiverKwai 
William Gates,Hoop Dreams ,8.3,7,7830611,0,WilliamGates HoopDreams ,root WilliamGates HoopDreams 
William Baldwin,The Squid and the Whale ,7.4,436,7362100,0,WilliamBaldwin TheSquidandtheWhale ,root WilliamBaldwin TheSquidandtheWhale 
