Director,Title,Score,Gross,Movie_Likes,id
Zal Batmanglij,The East ,6.9,2268296,12000,root ZalBatmanglij TheEast 
Zal Batmanglij,Sound of My Voice ,6.7,405614,0,root ZalBatmanglij SoundofMyVoice 
Zak Penn,Incident at Loch Ness ,6.6,36830,400,root ZakPenn IncidentatLochNess 
Zack Snyder,Watchmen ,7.7,107503316,18000,root ZackSnyder Watchmen 
Zack Snyder,Sucker Punch ,6.1,36381716,42000,root ZackSnyder SuckerPunch 
Zack Snyder,Man of Steel ,7.2,291021565,118000,root ZackSnyder ManofSteel 
Zack Snyder,Legend of the Guardians: The Owls of Ga'Hoole ,7,55673333,16000,root ZackSnyder LegendoftheGuardians:TheOwlsofGa'Hoole 
Zack Snyder,Dawn of the Dead ,7.4,117771270,14000,root ZackSnyder DawnoftheDead 
Zack Snyder,Batman v Superman: Dawn of Justice ,6.9,330249062,197000,root ZackSnyder BatmanvSuperman:DawnofJustice 
Zack Snyder,300 ,7.7,210592590,13000,root ZackSnyder 300 
Zach Cregger,Miss March ,5.1,4542775,985,root ZachCregger MissMarch 
Zach Braff,Wish I Was Here ,6.7,3588432,0,root ZachBraff WishIWasHere 
Zach Braff,Garden State ,7.6,26781723,0,root ZachBraff GardenState 
Youssef Delara,Filly Brown ,5.7,2833383,0,root YoussefDelara FillyBrown 
Yorgos Lanthimos,Dogtooth ,7.3,110197,13000,root YorgosLanthimos Dogtooth 
Yimou Zhang,The Flowers of War ,7.6,9213,13000,root YimouZhang TheFlowersofWar 
Yimou Zhang,House of Flying Daggers ,7.6,11041228,0,root YimouZhang HouseofFlyingDaggers 
Yimou Zhang,Hero ,7.9,169922,0,root YimouZhang Hero 
Yimou Zhang,Curse of the Golden Flower ,7,6565495,0,root YimouZhang CurseoftheGoldenFlower 
Yimou Zhang,Coming Home ,7.3,377420,0,root YimouZhang ComingHome 
Yimou Zhang,"A Woman, a Gun and a Noodle Shop ",5.7,381332,1568,"root YimouZhang AWoman,aGunandaNoodleShop "
Yash Chopra,Veer-Zaara ,7.9,2921738,2000,root YashChopra Veer-Zaara 
Yash Chopra,Jab Tak Hai Jaan ,6.9,3047539,12000,root YashChopra JabTakHaiJaan 
Yarrow Cheney,The Secret Life of Pets ,6.8,323505540,36000,root YarrowCheney TheSecretLifeofPets 
Xavier Gens,The Divide ,5.8,22000,0,root XavierGens TheDivide 
Xavier Gens,Hitman ,6.3,39687528,0,root XavierGens Hitman 
Xavier Beauvois,Of Gods and Men ,7.2,3950029,0,root XavierBeauvois OfGodsandMen 
Wych Kaosayananda,Ballistic: Ecks vs. Sever ,3.6,14294842,391,root WychKaosayananda Ballistic:Ecksvs.Sever 
Woody Allen,You Will Meet a Tall Dark Stranger ,6.3,3247816,0,root WoodyAllen YouWillMeetaTallDarkStranger 
Woody Allen,Whatever Works ,7.2,5306447,10000,root WoodyAllen WhateverWorks 
Woody Allen,Vicky Cristina Barcelona ,7.2,23213577,14000,root WoodyAllen VickyCristinaBarcelona 
Woody Allen,To Rome with Love ,6.3,16684352,18000,root WoodyAllen ToRomewithLove 
Woody Allen,The Curse of the Jade Scorpion ,6.8,7496522,826,root WoodyAllen TheCurseoftheJadeScorpion 
Woody Allen,Small Time Crooks ,6.7,17071230,812,root WoodyAllen SmallTimeCrooks 
