Director,Avg,Gross
Ekachai Uekrongtham,162,162
Frank Whaley,703,703
Robert Sarkies,728,728
Ian Fitzgibbon,828,828
Ricki Stern,1111,1111
Alex Craig Mann,1332,1332
Boris Rodriguez,1521,1521
John D. Hancock,1711,1711
U. Roberto Romano,2245,2245
Paul Bunnell,2436,2436
Bruce Dellis,2468,2468
Adam Goldberg,2580,2580
André Téchiné,2874,2874
Robert Fontaine,3330,3330
Bruce McDonald,3478,3478
Álex de la Iglesia,3607,3607
Tom Sanchez,3830,3830
Ruba Nadda,4063,4063
Jeremy Degruson,4091,4091
Phil Morrison,4556,4556
Jonathan Newman,4756,4756
Dena Seidel,4914,4914
Ralph Ziman,4958,4958
Francesca Gregorini,5005,5005
Eddie O'Flaherty,5199,5199
Sara Newens,5858,5858
Hal Haberman,6387,6387
Ramaa Mosley,6643,6643
Eric Styles,7680,7680
James David Pasternak,7826,7826
Orson Welles,7927,7927
James Bidgood,8231,8231
Ernie Barbarash,8691,8691
Kay Pollak,9910,9910
Georg Wilhelm Pabst,9950,9950
Eric Nicholas,10018,10018
Daniel Hsia,10443,10443
Jennifer Wynne Farmer,10508,10508
Damian Nieman,10696,10696
Claudia Sainte-Luce,11278,11278
Sue Corcoran,11798,11798
Benedikt Erlingsson,11835,11835
Sol Tryon,12055,12055
Michael Roemer,12438,12438
Hunter Richards,12667,12667
Franck Khalfoun,12843,12843
Alex Smith,13134,13134
Simon Yin,13220,13220
Scott Ziehl,13493,13493
Timothy Hines,14616,14616
Sam Peckinpah,14873,14873
Christopher M. Bessette,15059,15059
Rich Christiano,15278,15278
Arthur Hiller,15447,15447
Marianna Palka,15542,15542
John Duigan,15593,15593
Klaus Menzel,16066,16066
Pan Nalin,16892,16892
Noah Buschel,17580,17580
Hilary Brougher,18195,18195
Oliver Blackburn,18378,18378
Pascal Arnold,18435,18435
Jim Mickle,18469,18469
Michael Meredith,19348,19348
Jonathan Kesselman,19539,19539
Dagur Kári,19959,19959
Kat Coiro,20186,20186
Kate Barker-Froyland,20200,20200
Karim Aïnouz,20262,20262
Jake Paltrow,20380,20380
Catherine Gund,21199,21199
Dan Zukovic,22434,22434
Akiva Goldsman,22451,22451
Hitoshi Matsumoto,22770,22770
Lloyd Kaufman,23000,23000
Vicente Amorim,23091,23091
Gene Teigland,23616,23616
Ruairi Robinson,23838,23838
Eric Bress,23947,23947
Bradley Rust Gray,24705,24705
Léa Pool,24784,24784
Ari Kirschenbaum,25918,25918
