Title,Facenumber,Score,Cast_Likes,Gross
The Green Hornet ,0,5.8,13391,98780042
The Prince and Me ,1,5.9,3239,28165882
The Savages ,0,7.2,23770,6610326
Wrong Turn ,1,6.1,3416,15417771
Zoom ,5,4.2,5022,11631245
Compliance ,0,6.4,1734,318622
The Iron Giant ,1,8,16358,23159305
Tae Guk Gi: The Brotherhood of War ,2,8.1,1730,1110186
Addicted ,0,5.2,2840,17382982
Mother and Child ,6,7.2,8876,1110286
Zoolander 2 ,4,4.8,24107,28837115
Vertical Limit ,0,5.9,3424,68473360
The Last House on the Left ,0,6.6,7722,65443270
Zoolander ,0,6.6,34565,45162741
Winged Migration ,0,8,66,10762178
The Losers ,1,6.4,12841,23527955
Superman Returns ,0,6.1,29991,200069408
Super Mario Bros. ,0,4,7723,20915465
Drive Me Crazy ,2,5.7,1760,17843379
Zero Effect ,2,7,1209,1980338
The Usual Suspects ,4,8.6,20821,23272306
Khiladi 786 ,1,4.3,1065,352684
The Longest Yard ,11,6.4,13693,158115031
In the Bedroom ,1,7.5,3970,35918429
Yeh Jawaani Hai Deewani ,2,6.9,2350,3827466
Dudley Do-Right ,0,3.8,5568,9694105
The Watcher ,0,5.3,18688,28927720
Zookeeper ,1,5.2,5392,80360866
Zero Dark Thirty ,0,7.4,2759,95720716
The Bone Collector ,2,6.7,29748,66488090
Somewhere ,0,6.3,684,1768416
Jade ,0,5.1,5461,9795017
The Lucky Ones ,0,7,2243,183088
The Second Best Exotic Marigold Hotel ,6,6.6,583,33071558
Wall Street: Money Never Sleeps ,2,6.3,1579,52474616
The Other Guys ,2,6.7,20233,119219978
Zombieland ,4,7.7,28011,75590286
Se7en ,0,8.6,22678,100125340
Holes ,0,7.1,1293,67325559
Kabhi Alvida Naa Kehna ,2,6,10822,3275443
The Reader ,0,7.6,14504,34180954
A Million Ways to Die in the West ,3,6.1,28927,42615685
Daddy's Home ,2,6.1,10886,150315155
Superstar ,1,5,10792,30628981
My Own Private Idaho ,2,7.1,19923,6401336
Immortals ,1,6.1,16691,83503161
Witless Protection ,2,3.1,4091,4131640
Youth in Revolt ,2,6.5,16004,15281286
20 Dates ,0,5.3,1362,536767
Things to Do in Denver When You're Dead ,2,6.8,14889,529766
Ca$h ,2,6,27756,46451
Grandma's Boy ,0,7,5202,6088249
The Hotel New Hampshire ,0,6,2024,5100000
Zodiac ,0,7.7,36928,33048353
Pirate Radio ,2,7.4,24316,7994115
The Statement ,4,6.2,3286,763044
Going the Distance ,0,6.3,2961,17797316
The Mummy: Tomb of the Dragon Emperor ,2,5.2,9131,102176165
Aquamarine ,3,5.3,3963,18595716
Valkyrie ,0,7.1,14165,83077470
"Jeff, Who Lives at Home ",5,6.5,3374,4244155
Woman on Top ,0,5.3,2687,5018450
The Host ,3,5.9,2473,28818411
xXx ,0,5.8,14790,141204016
The Wrestler ,0,7.9,1582,26236603
The Bourne Ultimatum ,0,8.1,17369,227137090
Cadillac Records ,3,7,1141,8134217
The Object of My Affection ,0,6,1450,29106737
Sherrybaby ,1,6.6,774,198407
The Lost Skeleton of Cadavra ,1,7,284,110536
U-571 ,0,6.6,14931,77086030
Psycho Beach Party ,1,6.3,2282,265107
By the Sea ,0,5.3,22319,531009
Zathura: A Space Adventure ,0,6.1,32232,28045540
The Yellow Handkerchief ,1,6.8,30978,317040
The Lovely Bones ,1,6.7,4739,87965684
Hero ,4,7.9,12458,169922
Real Women Have Curves ,1,7,2510,5844929
Ballistic: Ecks vs. Sever ,1,3.6,1846,14294842
The Greatest Game Ever Played ,1,7.5,1217,15331289
Zack and Miri Make a Porno ,7,6.6,638,31452765
Woman in Gold ,2,7.3,17866,33305037
Space Cowboys ,1,6.4,17771,90454043
Flipped ,0,7.7,4377,1752214
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",5,6.9,1317,291709845
"The Book of Mormon Movie, Volume 1: The Journey ",1,3.3,359,1098224
The Spectacular Now ,1,7.1,10040,6851969
The Green Mile ,0,8.5,17716,136801374
You Kill Me ,1,6.5,776,2426851
