Budget,Cast_Likes,Gross,Link,Score,Title,Type,Users,Year,movie_likes
35000000,5022,11631245,http://www.imdb.com/title/tt0383060/?ref_=fn_tt_tt_1,4.2,Zoom ,Color,15015,2006,494
50000000,24107,28837115,http://www.imdb.com/title/tt1608290/?ref_=fn_tt_tt_1,4.8,Zoolander 2 ,Color,34964,2016,28000
28000000,34565,45162741,http://www.imdb.com/title/tt0196229/?ref_=fn_tt_tt_1,6.6,Zoolander ,Color,201084,2001,0
80000000,5392,80360866,http://www.imdb.com/title/tt1222817/?ref_=fn_tt_tt_1,5.2,Zookeeper ,Color,44662,2011,0
23600000,28011,75590286,http://www.imdb.com/title/tt1156398/?ref_=fn_tt_tt_1,7.7,Zombieland ,Color,386217,2009,26000
65000000,36928,33048353,http://www.imdb.com/title/tt0443706/?ref_=fn_tt_tt_1,7.7,Zodiac ,Color,301279,2007,12000
5000000,1209,1980338,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,7,Zero Effect ,Color,12366,1998,507
40000000,2759,95720716,http://www.imdb.com/title/tt1790885/?ref_=fn_tt_tt_1,7.4,Zero Dark Thirty ,Color,216032,2012,39000
65000000,32232,28045540,http://www.imdb.com/title/tt0406375/?ref_=fn_tt_tt_1,6.1,Zathura: A Space Adventure ,Color,67707,2005,0
24000000,638,31452765,http://www.imdb.com/title/tt1007028/?ref_=fn_tt_tt_1,6.6,Zack and Miri Make a Porno ,Color,149835,2008,0
18000000,16004,15281286,http://www.imdb.com/title/tt0403702/?ref_=fn_tt_tt_1,6.5,Youth in Revolt ,Color,64646,2009,0
125000,973,1573712,http://www.imdb.com/title/tt1742336/?ref_=fn_tt_tt_1,6.7,Your Sister's Sister ,Color,21618,2011,3000
49900000,45202,21557240,http://www.imdb.com/title/tt1240982/?ref_=fn_tt_tt_1,5.6,Your Highness ,Color,85237,2011,18000
18000000,605,4250320,http://www.imdb.com/title/tt0090357/?ref_=fn_tt_tt_1,6.8,Young Sherlock Holmes ,Color,14870,1985,0
13000000,1747,44726644,http://www.imdb.com/title/tt0096487/?ref_=fn_tt_tt_1,6.8,Young Guns ,Color,42614,1988,0
2800000,2703,86300000,http://www.imdb.com/title/tt0072431/?ref_=fn_tt_tt_1,8,Young Frankenstein ,Black and White,112671,1974,14000
12000000,10575,16300302,http://www.imdb.com/title/tt1625346/?ref_=fn_tt_tt_1,6.3,Young Adult ,Color,64682,2011,0
65000000,17768,115731542,http://www.imdb.com/title/tt0128853/?ref_=fn_tt_tt_1,6.5,You've Got Mail ,Color,151812,1998,0
54000000,847,75604320,http://www.imdb.com/title/tt0463034/?ref_=fn_tt_tt_1,5.6,"You, Me and Dupree ",Color,68417,2006,0
22000000,19310,3247816,http://www.imdb.com/title/tt1182350/?ref_=fn_tt_tt_1,6.3,You Will Meet a Tall Dark Stranger ,Color,36145,2010,0
9500000,2127,43100000,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,6.9,You Only Live Twice ,Color,75280,1967,0
4000000,776,2426851,http://www.imdb.com/title/tt0796375/?ref_=fn_tt_tt_1,6.5,You Kill Me ,Color,16224,2007,830
8000000,1792,40066497,http://www.imdb.com/title/tt0365957/?ref_=fn_tt_tt_1,3.5,You Got Served ,Color,23671,2004,0
90000000,13446,100018837,http://www.imdb.com/title/tt0960144/?ref_=fn_tt_tt_1,5.5,You Don't Mess with the Zohan ,Color,156348,2008,0
1200000,4288,9180275,http://www.imdb.com/title/tt0203230/?ref_=fn_tt_tt_1,7.7,You Can Count on Me ,Color,22145,2000,756
20000000,4813,25677801,http://www.imdb.com/title/tt1414382/?ref_=fn_tt_tt_1,5.8,You Again ,Color,41273,2010,0
80000000,4394,100169068,http://www.imdb.com/title/tt1302067/?ref_=fn_tt_tt_1,4.6,Yogi Bear ,Color,16385,2010,0
70000000,29505,97680195,http://www.imdb.com/title/tt1068680/?ref_=fn_tt_tt_1,6.8,Yes Man ,Color,271691,2008,0
1000000,2721,396035,http://www.imdb.com/title/tt0381717/?ref_=fn_tt_tt_1,6.9,Yes ,Color,2725,2004,305
12000000,914,30400000,http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1,6.6,Yentl ,Color,9503,1983,0
60000000,12258,43337279,http://www.imdb.com/title/tt1045778/?ref_=fn_tt_tt_1,4.9,Year One ,Color,76770,2009,0
2000000,361,13622333,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,7.7,Y Tu Mamá También ,Color,91377,2001,0
87000000,993,26082914,http://www.imdb.com/title/tt0329774/?ref_=fn_tt_tt_1,4.3,xXx: State of the Union ,Color,51349,2005,0
70000000,14790,141204016,http://www.imdb.com/title/tt0295701/?ref_=fn_tt_tt_1,5.8,xXx ,Color,142569,2002,10000
210000000,21714,234360014,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,6.8,X-Men: The Last Stand ,Color,383427,2006,0
160000000,50983,146405371,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,7.8,X-Men: First Class ,Color,518537,2011,54000
200000000,91434,233914986,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,8,X-Men: Days of Future Past ,Color,514125,2014,82000
178000000,49684,154985087,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,7.3,X-Men: Apocalypse ,Color,148379,2016,54000
150000000,40054,179883016,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,6.7,X-Men Origins: Wolverine ,Color,361924,2009,0
110000000,20952,214948780,http://www.imdb.com/title/tt0290334/?ref_=fn_tt_tt_1,7.5,X-Men 2 ,Color,405973,2003,0
75000000,21397,157299717,http://www.imdb.com/title/tt0120903/?ref_=fn_tt_tt_1,7.4,X-Men ,Color,452928,2000,0
63000000,5708,25052000,http://www.imdb.com/title/tt0111756/?ref_=fn_tt_tt_1,6.6,Wyatt Earp ,Color,35314,1994,0
12600000,3416,15417771,http://www.imdb.com/title/tt0295700/?ref_=fn_tt_tt_1,6.1,Wrong Turn ,Color,87494,2003,0
1000000,4720,104077,http://www.imdb.com/title/tt0477139/?ref_=fn_tt_tt_1,7.4,Wristcutters: A Love Story ,Color,46076,2006,11000
165000000,4451,189412677,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,7.8,Wreck-It Ralph ,Color,272534,2012,40000
150000000,16184,83640426,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,5.8,Wrath of the Titans ,Color,152826,2012,19000
190000000,32392,202351611,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,7,World War Z ,Color,465019,2013,129000
63000000,14421,70236496,http://www.imdb.com/title/tt0469641/?ref_=fn_tt_tt_1,6,World Trade Center ,Color,67395,2006,0
600000,778,13300000,http://www.imdb.com/title/tt0066580/?ref_=fn_tt_tt_1,8.1,Woodstock ,Color,12631,1970,0
13000000,3352,8026971,http://www.imdb.com/title/tt0120531/?ref_=fn_tt_tt_1,3.8,Woo ,Color,1520,1998,204
5000000,1315,1056102,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,6.6,Wonderland ,Color,18792,2003,1000
55000000,22974,19389454,http://www.imdb.com/title/tt0185014/?ref_=fn_tt_tt_1,7.4,Wonder Boys ,Color,54643,2000,0
8000000,2687,5018450,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1,5.3,Woman on Top ,Color,8546,2000,859
11000000,17866,33305037,http://www.imdb.com/title/tt2404425/?ref_=fn_tt_tt_1,7.3,Woman in Gold ,Color,33856,2015,34000
70000000,1439,65012000,http://www.imdb.com/title/tt0111742/?ref_=fn_tt_tt_1,6.2,Wolf ,Color,43559,1994,0
12000000,22479,65500000,http://www.imdb.com/title/tt0090329/?ref_=fn_tt_tt_1,7.4,Witness ,Color,66966,1985,0
7500000,4091,4131640,http://www.imdb.com/title/tt1001562/?ref_=fn_tt_tt_1,3.1,Witless Protection ,Color,5463,2008,140
25000000,4351,777423,http://www.imdb.com/title/tt0119934/?ref_=fn_tt_tt_1,7.2,Without Limits ,Color,5841,1998,942
19000000,1266,58156435,http://www.imdb.com/title/tt0364751/?ref_=fn_tt_tt_1,5.9,Without a Paddle ,Color,37479,2004,0
2000000,901,7369373,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,5.7,Witchboard ,Color,4288,1986,0
6000000,18947,3588432,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,6.7,Wish I Was Here ,Color,29341,2014,0
60000000,22447,22451,http://www.imdb.com/title/tt1837709/?ref_=fn_tt_tt_1,6.2,Winter's Tale ,Color,41288,2014,17000
2000000,34446,6531491,http://www.imdb.com/title/tt1399683/?ref_=fn_tt_tt_1,7.2,Winter's Bone ,Color,111658,2010,20000
3500000,20009,101228,http://www.imdb.com/title/tt0380817/?ref_=fn_tt_tt_1,6.4,Winter Passing ,Color,7228,2005,414
4000000,219,542860,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,7.1,Winter in Wartime ,Color,9230,2008,0
30000000,1002,26687172,http://www.imdb.com/title/tt1449283/?ref_=fn_tt_tt_1,7.3,Winnie the Pooh ,Color,15600,2011,0
160000000,66,10762178,http://www.imdb.com/title/tt0301727/?ref_=fn_tt_tt_1,8,Winged Migration ,Color,10369,2001,1000
30000000,2497,11576087,http://www.imdb.com/title/tt0131646/?ref_=fn_tt_tt_1,4.1,Wing Commander ,Color,14747,1999,858
115000000,15046,40911830,http://www.imdb.com/title/tt0245562/?ref_=fn_tt_tt_1,6,Windtalkers ,Color,55994,2002,0
24000000,4681,16964743,http://www.imdb.com/title/tt0335559/?ref_=fn_tt_tt_1,5.6,Win a Date with Tad Hamilton! ,Color,22844,2004,876
31000000,9330,16831505,http://www.imdb.com/title/tt0360201/?ref_=fn_tt_tt_1,6.3,Wimbledon ,Color,51842,2004,0
22000000,1267,6852144,http://www.imdb.com/title/tt0310357/?ref_=fn_tt_tt_1,6.2,Willard ,Color,15169,2003,0
170000000,15870,113745408,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,4.8,Wild Wild West ,Color,129601,1999,0
20000000,14275,29753944,http://www.imdb.com/title/tt0120890/?ref_=fn_tt_tt_1,6.5,Wild Things ,Color,90677,1998,0
8000000,11770,117190,http://www.imdb.com/title/tt1235189/?ref_=fn_tt_tt_1,6.9,Wild Target ,Color,29994,2010,0
15000000,4896,37877959,http://www.imdb.com/title/tt2305051/?ref_=fn_tt_tt_1,7.1,Wild ,Color,86664,2014,38000
60000000,1358,25662242,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,7,Wicker Park ,Color,89958,2004,0
15000000,6510,55184721,http://www.imdb.com/title/tt0906108/?ref_=fn_tt_tt_1,5.6,Why Did I Get Married? ,Color,9811,2007,1000
20000000,6657,60072596,http://www.imdb.com/title/tt1391137/?ref_=fn_tt_tt_1,4.4,Why Did I Get Married Too? ,Color,7664,2010,0
7000000,3128,5694308,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1,2,Who's Your Caddy? ,Color,13815,2007,446
1000000,1447,1677838,http://www.imdb.com/title/tt0489037/?ref_=fn_tt_tt_1,7.7,Who Killed the Electric Car? ,Color,11283,2006,0
35000000,1947,10268846,http://www.imdb.com/title/tt0365929/?ref_=fn_tt_tt_1,5.5,Whiteout ,Color,31918,2009,0
38000000,16237,10300000,http://www.imdb.com/title/tt0118158/?ref_=fn_tt_tt_1,6.6,White Squall ,Color,17859,1996,911
16000000,2572,16346122,http://www.imdb.com/title/tt0283139/?ref_=fn_tt_tt_1,7.2,White Oleander ,Color,25549,2002,0
