Cast_Likes,Facenumber,Gross,Link,Score,Title
13391,0,98780042,http://www.imdb.com/title/tt0990407/?ref_=fn_tt_tt_1,5.8,The Green Hornet 
3416,1,15417771,http://www.imdb.com/title/tt0295700/?ref_=fn_tt_tt_1,6.1,Wrong Turn 
5022,5,11631245,http://www.imdb.com/title/tt0383060/?ref_=fn_tt_tt_1,4.2,Zoom 
1734,0,318622,http://www.imdb.com/title/tt1971352/?ref_=fn_tt_tt_1,6.4,Compliance 
16358,1,23159305,http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1,8,The Iron Giant 
1730,2,1110186,http://www.imdb.com/title/tt0386064/?ref_=fn_tt_tt_1,8.1,Tae Guk Gi: The Brotherhood of War 
2840,0,17382982,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,5.2,Addicted 
8876,6,1110286,http://www.imdb.com/title/tt1121977/?ref_=fn_tt_tt_1,7.2,Mother and Child 
24107,4,28837115,http://www.imdb.com/title/tt1608290/?ref_=fn_tt_tt_1,4.8,Zoolander 2 
3424,0,68473360,http://www.imdb.com/title/tt0190865/?ref_=fn_tt_tt_1,5.9,Vertical Limit 
7722,0,65443270,http://www.imdb.com/title/tt0844708/?ref_=fn_tt_tt_1,6.6,The Last House on the Left 
34565,0,45162741,http://www.imdb.com/title/tt0196229/?ref_=fn_tt_tt_1,6.6,Zoolander 
66,0,10762178,http://www.imdb.com/title/tt0301727/?ref_=fn_tt_tt_1,8,Winged Migration 
12841,1,23527955,http://www.imdb.com/title/tt0480255/?ref_=fn_tt_tt_1,6.4,The Losers 
29991,0,200069408,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,6.1,Superman Returns 
7723,0,20915465,http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1,4,Super Mario Bros. 
1760,2,17843379,http://www.imdb.com/title/tt0164114/?ref_=fn_tt_tt_1,5.7,Drive Me Crazy 
1209,2,1980338,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,7,Zero Effect 
20821,4,23272306,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,8.6,The Usual Suspects 
13693,11,158115031,http://www.imdb.com/title/tt0398165/?ref_=fn_tt_tt_1,6.4,The Longest Yard 
3970,1,35918429,http://www.imdb.com/title/tt0247425/?ref_=fn_tt_tt_1,7.5,In the Bedroom 
5568,0,9694105,http://www.imdb.com/title/tt0160236/?ref_=fn_tt_tt_1,3.8,Dudley Do-Right 
18688,0,28927720,http://www.imdb.com/title/tt0204626/?ref_=fn_tt_tt_1,5.3,The Watcher 
5392,1,80360866,http://www.imdb.com/title/tt1222817/?ref_=fn_tt_tt_1,5.2,Zookeeper 
